sku_id,description,analysis_weeks,positive_demand_weeks,zero_demand_week_pct,mean_weekly_demand,std_weekly_demand,coefficient_of_variation,average_demand_interval_weeks,lag_1_autocorrelation,first_13_week_average,last_13_week_average,trend_slope_units_per_week,recent_vs_initial_13_week_change_pct
10002,INFLATABLE POLITICAL GLOBE,104,69,33.65,83.76,167.24,1.997,1.51,0.072,82.92,0.00,-1.809,-100.00
10002R,ROBOT PENCIL SHARPNER,104,2,98.08,0.03,0.22,7.572,52.00,-0.018,0.23,0.00,-0.002,-100.00
10080,GROOVY CACTUS INFLATABLE,104,20,80.77,5.70,21.63,3.794,5.20,0.177,0.00,13.77,0.168,
10109,BENDY COLOUR PENCILS,104,0,100.00,0.00,0.00,0.000,0.00,,0.00,0.00,0.000,
10120,DOGGY RUBBER,104,41,60.58,5.42,11.33,2.090,2.54,-0.020,8.77,5.54,-0.034,-36.84
10123C,HEARTS WRAPPING TAPE,104,34,67.31,6.21,23.66,3.810,3.06,-0.025,13.92,0.00,-0.172,-100.00
10123G,ARMY CAMO WRAPPING TAPE,104,10,90.38,22.42,158.21,7.056,10.40,-0.020,0.00,0.00,-0.325,
10124A,SPOTS ON RED BOOKCOVER TAPE,104,17,83.65,1.29,7.57,5.874,6.12,-0.010,5.85,0.31,-0.038,-94.74
10124G,ARMY CAMO BOOKCOVER TAPE,104,10,90.38,0.32,1.07,3.381,10.40,-0.081,0.00,0.62,0.001,
10125,MINI FUNKY DESIGN TAPES,104,69,33.65,19.46,30.30,1.557,1.51,0.024,12.00,25.31,0.150,110.90
10133,COLOURING PENCILS BROWN TUBE,104,73,29.81,36.08,59.58,1.651,1.42,0.717,26.08,2.31,0.593,-91.15
10134,COLOURING PENCILS BROWN TUBE,104,28,73.08,5.79,23.69,4.092,3.71,-0.003,21.46,0.00,-0.211,-100.00
10135,COLOURING PENCILS BROWN TUBE,104,92,11.54,39.67,87.13,2.196,1.13,0.037,75.31,26.15,-0.198,-65.27
10138,ASSORTED COLOUR JUMBO PEN,104,8,92.31,1.02,4.17,4.088,13.00,-0.019,5.54,0.00,-0.048,-100.00
11001,ASSTD DESIGN RACING CAR PEN,104,85,18.27,45.68,88.83,1.945,1.22,0.186,18.85,23.77,-0.078,26.12
15030,FAN BLACK FRAME,104,24,76.92,3.87,16.13,4.174,4.33,0.004,1.92,2.69,0.047,40.00
15034,PAPER POCKET TRAVELING FAN,104,90,13.46,97.58,193.89,1.987,1.16,0.135,48.38,209.38,1.338,332.75
15036,ASSORTED COLOURS SILK FAN,104,100,3.85,423.47,526.51,1.243,1.04,0.158,101.00,178.15,1.351,76.39
15039,SANDALWOOD FAN,104,92,11.54,48.51,79.19,1.632,1.13,0.143,48.15,31.00,-0.099,-35.62
15044A,PINK PAPER PARASOL,104,80,23.08,47.71,345.24,7.236,1.30,0.008,9.62,5.38,-1.117,-44.00
15044B,BLUE PAPER PARASOL,104,68,34.62,16.05,55.46,3.456,1.53,0.122,3.23,0.46,-0.308,-85.71
15044C,PURPLE PAPER PARASOL,104,82,21.15,9.27,14.62,1.577,1.27,0.201,6.38,3.62,-0.097,-43.37
15044D,RED PAPER PARASOL,104,81,22.12,15.26,23.50,1.540,1.28,0.161,14.00,15.15,-0.087,8.24
15056BL,EDWARDIAN PARASOL BLACK,104,102,1.92,82.75,136.37,1.648,1.02,0.096,212.31,75.85,-0.976,-64.28
15056N,EDWARDIAN PARASOL NATURAL,104,102,1.92,102.71,113.48,1.105,1.02,-0.002,170.23,62.62,-0.897,-63.22
15056P,EDWARDIAN PARASOL PINK,104,99,4.81,18.49,27.30,1.477,1.05,0.045,17.46,14.69,-0.045,-15.86
15058A,BLUE POLKADOT GARDEN PARASOL,104,54,48.08,4.77,9.86,2.067,1.93,0.620,0.23,0.85,-0.020,266.67
15058B,PINK POLKADOT GARDEN PARASOL,104,55,47.12,4.21,8.07,1.916,1.89,0.504,0.38,0.31,0.001,-20.00
15058C,ICE CREAM DESIGN GARDEN PARASOL,104,50,51.92,4.51,10.25,2.272,2.08,0.307,0.15,0.31,0.001,100.00
15059A,ENGLISH ROSE EDWARDIAN PARASOL,104,0,100.00,0.00,0.00,0.000,0.00,,0.00,0.00,0.000,
15060B,FAIRY CAKE DESIGN UMBRELLA,104,95,8.65,13.63,14.51,1.064,1.09,0.254,14.00,9.31,-0.105,-33.52
16008,SMALL FOLDING SCISSOR(POINTED EDGE),104,42,59.62,27.20,66.31,2.438,2.48,0.311,0.00,117.46,1.055,
16010,FOLDING CAMPING SCISSOR W/KNIF & S,104,4,96.15,0.31,1.76,5.712,26.00,-0.031,0.15,0.00,0.001,-100.00
16011,ANIMAL STICKERS,104,65,37.50,36.18,49.63,1.372,1.60,0.155,27.77,38.62,0.059,39.06
16012,FOOD/DRINK SPONGE STICKERS,104,49,52.88,26.62,47.15,1.772,2.12,0.057,38.92,14.85,-0.063,-61.86
16014,SMALL CHINESE STYLE SCISSOR,104,58,44.23,281.49,725.99,2.579,1.79,0.027,351.85,362.85,-0.393,3.13
16015,MEDIUM CHINESE STYLE SCISSOR,104,53,49.04,18.38,69.80,3.796,1.96,-0.031,7.46,3.85,0.028,-48.45
16016,LARGE CHINESE STYLE SCISSOR,104,67,35.58,21.38,45.20,2.114,1.55,-0.041,20.92,18.46,0.013,-11.76
16020C,CLEAR STATIONERY BOX SET,104,24,76.92,1.54,4.80,3.122,4.33,0.378,0.92,0.00,0.005,-100.00
16033,UNKNOWN,104,36,65.38,146.55,420.02,2.866,2.89,0.084,304.62,0.00,-4.542,-100.00
16043,POP ART PUSH DOWN RUBBER,104,11,89.42,20.62,132.62,6.430,9.45,-0.024,3.69,0.00,-0.286,-100.00
16044,UNKNOWN,104,4,96.15,60.47,602.42,9.962,26.00,-0.010,483.77,0.00,-3.046,-100.00
16045,POPART WOODEN PENCILS ASST,104,35,66.35,88.58,185.50,2.094,2.97,0.490,7.85,315.38,3.406,3919.61
