series,description,week_start,demand_units,trend_13_week_centered_ma,seasonal_component,residual
ALL_SKUS,All products,2009-11-30,146992,,6080.89,
ALL_SKUS,All products,2009-12-07,120283,,-5687.41,
ALL_SKUS,All products,2009-12-14,136548,,-65539.72,
ALL_SKUS,All products,2009-12-21,40518,,-96083.57,
ALL_SKUS,All products,2009-12-28,0,,,
ALL_SKUS,All products,2010-01-04,96701,,-12270.11,
ALL_SKUS,All products,2010-01-11,77639,94725.77,-5268.80,-11817.97
ALL_SKUS,All products,2010-01-18,136657,91302.23,56402.74,-11047.97
ALL_SKUS,All products,2010-01-25,84237,88056.31,-2914.88,-904.43
ALL_SKUS,All products,2010-02-01,65217,89580.54,-12146.95,-12216.59
ALL_SKUS,All products,2010-02-08,51491,96873.62,-34306.07,-11076.55
ALL_SKUS,All products,2010-02-15,180960,102693.15,38179.32,40087.53
ALL_SKUS,All products,2010-02-22,94192,101722.85,-2837.76,-4693.09
ALL_SKUS,All products,2010-03-01,102486,102965.00,-6609.53,6130.53
ALL_SKUS,All products,2010-03-08,78086,99327.54,-12505.38,-8736.16
ALL_SKUS,All products,2010-03-15,156363,101093.62,33424.32,21845.07
ALL_SKUS,All products,2010-03-22,135328,103601.54,16824.74,14901.72
ALL_SKUS,All products,2010-03-29,75654,109092.54,-3020.07,-30418.47
ALL_SKUS,All products,2010-04-05,84087,102172.08,-16418.99,-1666.09
ALL_SKUS,All products,2010-04-12,93787,103082.31,-2606.76,-6688.55
ALL_SKUS,All products,2010-04-19,89370,99885.38,-5134.80,-5380.59
ALL_SKUS,All products,2010-04-26,107196,103388.31,-14227.49,18035.18
ALL_SKUS,All products,2010-05-03,97820,97764.15,-3691.38,3747.22
ALL_SKUS,All products,2010-05-10,122874,92630.92,27272.01,2971.07
ALL_SKUS,All products,2010-05-17,90994,95106.15,10634.20,-14746.36
ALL_SKUS,All products,2010-05-24,106025,94462.62,6327.43,5234.95
ALL_SKUS,All products,2010-05-31,60926,95261.85,-30420.91,-3914.93
ALL_SKUS,All products,2010-06-07,123624,94761.23,22047.82,6814.95
ALL_SKUS,All products,2010-06-14,83249,92286.77,1732.39,-10770.16
ALL_SKUS,All products,2010-06-21,68596,94035.46,-21626.76,-3812.70
ALL_SKUS,All products,2010-06-28,107832,98688.00,-3212.57,12356.57
ALL_SKUS,All products,2010-07-05,75721,100148.77,-11066.34,-13361.43
ALL_SKUS,All products,2010-07-12,104177,98438.38,-1088.22,6826.84
ALL_SKUS,All products,2010-07-19,82862,100503.46,-806.53,-16834.93
ALL_SKUS,All products,2010-07-26,75028,96798.62,-5423.22,-16347.39
ALL_SKUS,All products,2010-08-02,120553,98583.15,14318.89,7650.95
ALL_SKUS,All products,2010-08-09,183357,104164.23,37531.62,41661.14
ALL_SKUS,All products,2010-08-16,109984,114271.08,-5713.80,1426.72
ALL_SKUS,All products,2010-08-23,83790,121096.62,-26043.80,-11262.82
ALL_SKUS,All products,2010-08-30,87772,126430.54,-36738.49,-1920.05
ALL_SKUS,All products,2010-09-06,75461,129906.77,-31431.38,-23014.39
ALL_SKUS,All products,2010-09-13,106448,132842.46,-12991.80,-13402.66
ALL_SKUS,All products,2010-09-20,141150,136314.46,23843.05,-19007.51
ALL_SKUS,All products,2010-09-27,239221,136022.38,45470.82,57727.80
ALL_SKUS,All products,2010-10-04,164453,140700.77,28278.62,-4526.39
ALL_SKUS,All products,2010-10-11,173518,145620.62,298.20,27599.18
ALL_SKUS,All products,2010-10-18,128053,150982.69,-10923.84,-12005.86
ALL_SKUS,All products,2010-10-25,113192,154594.46,-25632.38,-15770.09
ALL_SKUS,All products,2010-11-01,165689,154670.54,11365.97,-347.51
ALL_SKUS,All products,2010-11-08,179560,146919.08,32988.43,-347.51
ALL_SKUS,All products,2010-11-15,170803,128517.46,42633.05,-347.51
ALL_SKUS,All products,2010-11-22,147748,121785.08,26310.43,-347.51
ALL_SKUS,All products,2010-11-29,157479,115401.77,42424.74,-347.51
ALL_SKUS,All products,2010-12-06,122414,116680.62,6080.89,-347.51
ALL_SKUS,All products,2010-12-13,107437,113471.92,-5687.41,-347.51
ALL_SKUS,All products,2010-12-20,40381,106268.23,-65539.72,-347.51
ALL_SKUS,All products,2010-12-27,0,96431.08,-96083.57,-347.51
ALL_SKUS,All products,2011-01-03,76932,89549.62,-12270.11,-347.51
ALL_SKUS,All products,2011-01-10,90535,84680.85,-5268.80,11122.95
ALL_SKUS,All products,2011-01-17,144678,77922.31,56402.74,10352.95
ALL_SKUS,All products,2011-01-24,71479,74184.46,-2914.88,209.41
ALL_SKUS,All products,2011-01-31,72041,72666.38,-12146.95,11521.57
ALL_SKUS,All products,2011-02-07,51677,75601.54,-34306.07,10381.53
ALL_SKUS,All products,2011-02-14,81344,83947.23,38179.32,-40782.55
ALL_SKUS,All products,2011-02-21,84454,83293.69,-2837.76,3998.07
ALL_SKUS,All products,2011-02-28,69618,83053.08,-6609.53,-6825.55
ALL_SKUS,All products,2011-03-07,73822,78286.23,-12505.38,8041.14
ALL_SKUS,All products,2011-03-14,87702,76817.77,33424.32,-22540.09
ALL_SKUS,All products,2011-03-21,78538,77310.00,16824.74,-15596.74
ALL_SKUS,All products,2011-03-28,108494,81790.62,-3020.07,29723.45
ALL_SKUS,All products,2011-04-04,68436,83883.92,-16418.99,971.07
ALL_SKUS,All products,2011-04-11,87407,84020.23,-2606.76,5993.53
ALL_SKUS,All products,2011-04-18,82709,83158.23,-5134.80,4685.57
ALL_SKUS,All products,2011-04-25,52389,85346.69,-14227.49,-18730.20
ALL_SKUS,All products,2011-05-02,78440,86573.62,-3691.38,-4442.24
ALL_SKUS,All products,2011-05-09,109925,86319.08,27272.01,-3666.09
ALL_SKUS,All products,2011-05-16,108557,83871.46,10634.20,14051.34
ALL_SKUS,All products,2011-05-23,86226,85828.54,6327.43,-5929.97
ALL_SKUS,All products,2011-05-30,58412,85613.00,-30420.91,3219.91
ALL_SKUS,All products,2011-06-06,102272,87734.15,22047.82,-7509.97
ALL_SKUS,All products,2011-06-13,103652,91844.46,1732.39,10075.14
ALL_SKUS,All products,2011-06-20,75229,93738.08,-21626.76,3117.68
ALL_SKUS,All products,2011-06-27,76675,92939.15,-3212.57,-13051.59
ALL_SKUS,All products,2011-07-04,93878,92277.92,-11066.34,12666.41
ALL_SKUS,All products,2011-07-11,84605,93215.08,-1088.22,-7521.86
ALL_SKUS,All products,2011-07-18,110284,94950.62,-806.53,16139.91
ALL_SKUS,All products,2011-07-25,105823,95593.85,-5423.22,15652.38
ALL_SKUS,All products,2011-08-01,103057,97084.08,14318.89,-8345.97
ALL_SKUS,All products,2011-08-08,99539,104363.54,37531.62,-42356.16
ALL_SKUS,All products,2011-08-15,99961,107796.54,-5713.80,-2121.74
ALL_SKUS,All products,2011-08-22,98409,113885.00,-26043.80,10567.80
ALL_SKUS,All products,2011-08-29,80974,116487.46,-36738.49,1225.03
ALL_SKUS,All products,2011-09-05,110634,119746.00,-31431.38,22319.38
ALL_SKUS,All products,2011-09-12,123025,123309.15,-12991.80,12707.64
ALL_SKUS,All products,2011-09-19,169862,127706.46,23843.05,18312.49
ALL_SKUS,All products,2011-09-26,121304,134256.00,45470.82,-58422.82
ALL_SKUS,All products,2011-10-03,173028,140918.00,28278.62,3831.38
ALL_SKUS,All products,2011-10-10,118437,146433.00,298.20,-28294.20
ALL_SKUS,All products,2011-10-17,152645,152258.00,-10923.84,11310.84
ALL_SKUS,All products,2011-10-24,152144,162701.31,-25632.38,15075.07
ALL_SKUS,All products,2011-10-31,160222,,11365.97,
ALL_SKUS,All products,2011-11-07,184683,,32988.43,
ALL_SKUS,All products,2011-11-14,186567,,42633.05,
ALL_SKUS,All products,2011-11-21,170104,,26310.43,
ALL_SKUS,All products,2011-11-28,156699,,42424.74,
ALL_SKUS,All products,2011-12-05,246397,,6080.89,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2009-11-30,731,,-791.85,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2009-12-07,1204,,-116.46,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2009-12-14,720,,-999.92,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2009-12-21,48,,-907.00,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2009-12-28,0,,,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-01-04,336,,-251.08,
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-01-11,384,503.54,-360.81,241.27
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-01-18,291,524.85,-486.54,252.69
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-01-25,432,472.85,-151.46,110.62
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2010-02-01,576,616.85,1028.69,-1069.54
